x	y
13.11	68.8
12.26	69.1
12.77	63.4
11.42	56.8
14.62	73.5
15.64	77.6
15.09	72.6
15.44	78.1
14.52	73.1
14.64	68.8
12.39	62
12.3	60
13.83	53.8
14.44	62.2
14.36	74.9
14.21	55.1
15.77	82.3
14.15	58.1
15.22	58.3
14.5	72.8
15.97	84.6
13.62	59.6
15.08	66.1
15.96	87.2
15.94	66.7
14.71	68.4
12.46	64.7
9.45	34.9
13.62	72.1
15.21	69.3
12.79	67.5
11.09	57.2
12.71	57.6
11.44	54.1
11.59	46
11.49	41.9
11.32	49.4
10.64	42.3
11.36	47.7
9.17	30.9
12.09	32.7
11.04	38.7
9.22	36.1
10.07	37.2
10.51	38.1
11.2	29.4
11.13	51.1
11.43	35.7
11	35.6
9.84	41.5
11.13	40.2
10.05	26.5
9.62	14.8
9.93	23.3
11.6	47.3
11.09	47.1
11.03	51.1
9.47	43.5
10.93	51.6
7.74	29.7
8.5	20.2
10.57	54.9
9.46	25.9
7.33	20.8
7.11	17.3
7.58	20.1
6.84	44.1
8.6	21.5
8.88	35.3
7.54	38.9
7.64	25.2
7.64	34.8
7.42	23.2
6.69	33.3
6.74	28.8
10.09	42.5
8.81	44.2
8.4	35.9
7.92	41.8
8.43	35.9
8.78	43.7
8.76	50.8
10.29	37.2
6.38	28.2
8.1	38.1
10.1	50.3
6.67	27.3
9.05	40.9
9.93	50.2
8.24	51.1
6.92	38.9
6.6	36.2
7.81	29.9
8.33	42.9
7.52	26.5
12.27	66.1
8.49	48.9
7.58	35.9
7.93	25.1
8.37	26.1
10	42.2
8.55	35.2
